link,img,name,price
/microsoft/xbox-series-x-1-tb-teshir-cihazi-12-ay-garantili-p-795487784,https://cdn.dsmcdn.com/mnresize/400/-/ty1781/prod/QC_ENRICHMENT/20251025/11/7236898a-8ef2-3deb-b2e0-4a0bcb8004a0/1_org_zoom.jpg, XBOX Series X 1 TB - Teşhir Cihazı 12 Ay Garantili,23.995 TL
/microsoft/xbox-series-x-1-tb-oyun-konsolu-p-67827452,https://cdn.dsmcdn.com/mnresize/400/-/ty1663/prod/QC/20250416/01/16ea623c-a0b3-35da-a15b-b53ddfc1e00a/1_org_zoom.jpg, Xbox Series X 1 Tb Oyun Konsolu,34.720 TL
/microsoft/xbox-series-x-siyah-1-tb-oyun-konsolu-p-1053072472,https://cdn.dsmcdn.com/mnresize/400/-/ty1793/prod/QC_PREP/20251119/13/f5d7d4c1-f261-3da8-b924-8967702d6658/1_org_zoom.jpg, Xbox Series X Siyah 1 TB Oyun Konsolu,"103.597,20 TL"
/microsoft/xbox-series-x-oyun-konsolu-siyah-1-tb-2-kol-ithalatci-garantili-p-89360028,https://cdn.dsmcdn.com/mnresize/400/-/ty80/product/media/images/20210306/9/69253222/149375950/1/1_org_zoom.jpg, Xbox Series X Oyun Konsolu Siyah 1 Tb + 2. Kol Ithalatçı Garantili,39.993 TL
/microsoft/xbox-series-x-digital-edition-oyun-konsolu-ithalatci-garantili-p-887090279,https://cdn.dsmcdn.com/mnresize/400/-/ty1630/prod/QC/20250128/15/7ec69eae-a327-3a3b-a819-fa8fe56f5974/1_org_zoom.jpg, Xbox Series X Digital Edition Oyun Konsolu (İTHALATÇI GARANTİLİ),35.750 TL
/microsoft/xbox-series-x-1-tb-yenilenmis-teshir-urunu-2-yil-garantili-dreamland-gameshop-p-861235633,https://cdn.dsmcdn.com/mnresize/400/-/ty1570/prod/QC/20240925/13/d413df51-67ff-3c8d-91a3-ab1c026c2cb3/1_org_zoom.jpg, XBOX SERİES X 1 TB YENİLENMİŞ TEŞHİR ÜRÜNÜ 2 YIL GARANTİLİ DREAMLAND GAMESHOP,24.449 TL
/microsoft/xbox-series-x-oyun-konsolu-siyah-1-tb-cift-kollu-p-793968491,https://cdn.dsmcdn.com/mnresize/400/-/ty1145/product/media/images/prod/SPM/PIM/20240123/19/5548eb96-3f51-3ad2-a7d7-188f2e487b1a/1_org_zoom.jpg, Xbox Series x Oyun Konsolu Siyah 1 TB çift kollu,44.499 TL
/microsoft/xbox-series-x-oyun-konsolu-siyah-1-tb-2-beyaz-kol-p-123632842,https://cdn.dsmcdn.com/mnresize/400/-/ty143/product/media/images/20210708/23/108461948/199598380/1/1_org_zoom.jpg, Xbox Series X Oyun Konsolu Siyah 1 Tb 2. Beyaz Kol,45.000 TL
/microsoft/xbox-oyun-sarj-kiti-p-987420181,https://cdn.dsmcdn.com/mnresize/400/-/ty1753/prod/QC_PREP/20250915/17/2744875c-d0b1-301a-bed9-3ac0b83f6851/1_org_zoom.jpg, XBOX OYUN SARJ KİTİ,789 TL
/microsoft/xbox-series-x-1-tb-oyun-konsolu-siyah-p-795413552,https://cdn.dsmcdn.com/mnresize/400/-/ty1550/product/media/images/ty1548/prod/QC/20240916/13/be033928-34db-3dc1-9258-c9acc59431f9/1_org_zoom.jpg, Xbox Series X 1 TB Oyun Konsolu Siyah,41.999 TL
/microsoft/xbox-series-x-1tb-one-s-j-black-p-716198496,https://cdn.dsmcdn.com/mnresize/400/-/ty894/product/media/images/20230522/11/355090160/944547445/1/1_org_zoom.jpg, Xbox Series X 1Tb (One S J) Black,42.499 TL
/microsoft/xbox-series-x-1-tb-oyun-konsolu-siyah-ithalatci-garantili-p-773876171,https://cdn.dsmcdn.com/mnresize/400/-/ty1398/product/media/images/prod/QC/20240704/21/385f2b4d-ce51-3f28-b2e8-ba01001d6c36/1_org_zoom.jpg, Xbox Series X 1 TB Oyun Konsolu - Siyah (İthalatçı Garantili),46.499 TL
/microsoft/xbox-series-x-oyun-konsolu-siyah-1-tb-ithalatci-garantili-p-740028188,https://cdn.dsmcdn.com/mnresize/400/-/ty957/product/media/images/20230627/10/389575525/973604739/1/1_org_zoom.jpg, Xbox Series x Oyun Konsolu Siyah 1 TB (İthalatçı Garantili),41.000 TL
